trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,continuous_stops,area_id,service_area_radius
t_10144_b_none_tn_0,08:32:00,08:32:00,781734,3,,0,0,2970.72075796905,0,0,,
t_10144_b_none_tn_0,08:33:00,08:33:00,781736,4,,0,0,3364.79013336394,0,0,,
t_10144_b_none_tn_0,08:34:00,08:34:00,781738,5,,0,0,4070.56927602859,0,0,,
t_10144_b_none_tn_0,08:36:00,08:36:00,781740,6,,0,0,4858.20160798,0,0,,
t_10145_b_none_tn_0,08:32:00,08:32:00,781715,1,,0,0,0,0,0,,
t_10145_b_none_tn_0,08:40:00,08:40:00,781732,2,,0,0,2279.23204828835,0,0,,
t_10145_b_none_tn_0,08:42:00,08:42:00,781734,3,,0,0,2970.72075796905,0,0,,
t_10145_b_none_tn_0,08:43:00,08:43:00,781736,4,,0,0,3364.79013336394,0,0,,
t_10145_b_none_tn_0,08:44:00,08:44:00,781738,5,,0,0,4070.56927602859,0,0,,
t_10145_b_none_tn_0,08:46:00,08:46:00,781740,6,,0,0,4858.20160798,0,0,,
t_10146_b_none_tn_0,08:42:00,08:42:00,781715,1,,0,0,0,0,0,,
t_10146_b_none_tn_0,08:50:00,08:50:00,781732,2,,0,0,2279.23204828835,0,0,,
t_10146_b_none_tn_0,08:52:00,08:52:00,781734,3,,0,0,2970.72075796905,0,0,,
t_10146_b_none_tn_0,08:53:00,08:53:00,781736,4,,0,0,3364.79013336394,0,0,,
t_10146_b_none_tn_0,08:54:00,08:54:00,781738,5,,0,0,4070.56927602859,0,0,,
t_10146_b_none_tn_0,08:56:00,08:56:00,781740,6,,0,0,4858.20160798,0,0,,
t_10147_b_none_tn_0,08:52:00,08:52:00,781715,1,,0,0,0,0,0,,
t_10147_b_none_tn_0,09:00:00,09:00:00,781732,2,,0,0,2279.23204828835,0,0,,
t_10147_b_none_tn_0,09:02:00,09:02:00,781734,3,,0,0,2970.72075796905,0,0,,
t_10147_b_none_tn_0,09:03:00,09:03:00,781736,4,,0,0,3364.79013336394,0,0,,
t_10147_b_none_tn_0,09:04:00,09:04:00,781738,5,,0,0,4070.56927602859,0,0,,
t_10147_b_none_tn_0,09:06:00,09:06:00,781740,6,,0,0,4858.20160798,0,0,,
t_10148_b_none_tn_0,09:02:00,09:02:00,781715,1,,0,0,0,0,0,,
t_10148_b_none_tn_0,09:10:00,09:10:00,781732,2,,0,0,2279.23204828835,0,0,,
t_10148_b_none_tn_0,09:12:00,09:12:00,781734,3,,0,0,2970.72075796905,0,0,,
t_10148_b_none_tn_0,09:13:00,09:13:00,781736,4,,0,0,3364.79013336394,0,0,,
t_10148_b_none_tn_0,09:14:00,09:14:00,781738,5,,0,0,4070.56927602859,0,0,,
t_10148_b_none_tn_0,09:16:00,09:16:00,781740,6,,0,0,4858.20160798,0,0,,
t_10149_b_none_tn_0,09:12:00,09:12:00,781715,1,,0,0,0,0,0,,
t_10149_b_none_tn_0,09:20:00,09:20:00,781732,2,,0,0,2279.23204828835,0,0,,
t_10149_b_none_tn_0,09:22:00,09:22:00,781734,3,,0,0,2970.72075796905,0,0,,
t_10149_b_none_tn_0,09:23:00,09:23:00,781736,4,,0,0,3364.79013336394,0,0,,
t_10149_b_none_tn_0,09:24:00,09:24:00,781738,5,,0,0,4070.56927602859,0,0,,
t_10149_b_none_tn_0,09:26:00,09:26:00,781740,6,,0,0,4858.20160798,0,0,,
t_10150_b_none_tn_0,09:22:00,09:22:00,781715,1,,0,0,0,0,0,,
t_10150_b_none_tn_0,09:30:00,09:30:00,781732,2,,0,0,2279.23204828835,0,0,,
t_10150_b_none_tn_0,09:32:00,09:32:00,781734,3,,0,0,2970.72075796905,0,0,,
t_10150_b_none_tn_0,09:33:00,09:33:00,781736,4,,0,0,3364.79013336394,0,0,,
t_10150_b_none_tn_0,09:34:00,09:34:00,781738,5,,0,0,4070.56927602859,0,0,,
t_10150_b_none_tn_0,09:36:00,09:36:00,781740,6,,0,0,4858.20160798,0,0,,
t_10151_b_none_tn_0,09:32:00,09:32:00,781715,1,,0,0,0,0,0,,
t_10151_b_none_tn_0,09:40:00,09:40:00,781732,2,,0,0,2279.23204828835,0,0,,
t_10151_b_none_tn_0,09:42:00,09:42:00,781734,3,,0,0,2970.72075796905,0,0,,
t_10151_b_none_tn_0,09:43:00,09:43:00,781736,4,,0,0,3364.79013336394,0,0,,
t_10151_b_none_tn_0,09:44:00,09:44:00,781738,5,,0,0,4070.56927602859,0,0,,
t_10151_b_none_tn_0,09:46:00,09:46:00,781740,6,,0,0,4858.20160798,0,0,,
t_10152_b_none_tn_0,09:42:00,09:42:00,781715,1,,0,0,0,0,0,,
t_10152_b_none_tn_0,09:50:00,09:50:00,781732,2,,0,0,2279.23204828835,0,0,,
t_10152_b_none_tn_0,09:52:00,09:52:00,781734,3,,0,0,2970.72075796905,0,0,,
t_10152_b_none_tn_0,09:53:00,09:53:00,781736,4,,0,0,3364.79013336394,0,0,,
t_10152_b_none_tn_0,09:54:00,09:54:00,781738,5,,0,0,4070.56927602859,0,0,,
t_10152_b_none_tn_0,09:56:00,09:56:00,781740,6,,0,0,4858.20160798,0,0,,
t_10153_b_none_tn_0,09:52:00,09:52:00,781715,1,,0,0,0,0,0,,
t_10153_b_none_tn_0,10:00:00,10:00:00,781732,2,,0,0,2279.23204828835,0,0,,
t_10153_b_none_tn_0,10:02:00,10:02:00,781734,3,,0,0,2970.72075796905,0,0,,
t_10153_b_none_tn_0,10:03:00,10:03:00,781736,4,,0,0,3364.79013336394,0,0,,
t_10153_b_none_tn_0,10:04:00,10:04:00,781738,5,,0,0,4070.56927602859,0,0,,
t_10153_b_none_tn_0,10:06:00,10:06:00,781740,6,,0,0,4858.20160798,0,0,,
t_10154_b_none_tn_0,10:02:00,10:02:00,781715,1,,0,0,0,0,0,,
t_10154_b_none_tn_0,10:10:00,10:10:00,781732,2,,0,0,2279.23204828835,0,0,,
t_10154_b_none_tn_0,10:12:00,10:12:00,781734,3,,0,0,2970.72075796905,0,0,,
t_10154_b_none_tn_0,10:13:00,10:13:00,781736,4,,0,0,3364.79013336394,0,0,,
t_10154_b_none_tn_0,10:14:00,10:14:00,781738,5,,0,0,4070.56927602859,0,0,,
t_10154_b_none_tn_0,10:16:00,10:16:00,781740,6,,0,0,4858.20160798,0,0,,
t_10155_b_none_tn_0,10:12:00,10:12:00,781715,1,,0,0,0,0,0,,
t_10155_b_none_tn_0,10:20:00,10:20:00,781732,2,,0,0,2279.23204828835,0,0,,
t_10155_b_none_tn_0,10:22:00,10:22:00,781734,3,,0,0,2970.72075796905,0,0,,
t_10155_b_none_tn_0,10:23:00,10:23:00,781736,4,,0,0,3364.79013336394,0,0,,
t_10155_b_none_tn_0,10:24:00,10:24:00,781738,5,,0,0,4070.56927602859,0,0,,
t_10155_b_none_tn_0,10:26:00,10:26:00,781740,6,,0,0,4858.20160798,0,0,,
t_10156_b_none_tn_0,10:22:00,10:22:00,781715,1,,0,0,0,0,0,,
t_10156_b_none_tn_0,10:30:00,10:30:00,781732,2,,0,0,2279.23204828835,0,0,,
t_10156_b_none_tn_0,10:32:00,10:32:00,781734,3,,0,0,2970.72075796905,0,0,,
t_10156_b_none_tn_0,10:33:00,10:33:00,781736,4,,0,0,3364.79013336394,0,0,,
t_10156_b_none_tn_0,10:34:00,10:34:00,781738,5,,0,0,4070.56927602859,0,0,,
t_10156_b_none_tn_0,10:36:00,10:36:00,781740,6,,0,0,4858.20160798,0,0,,
t_10157_b_none_tn_0,10:32:00,10:32:00,781715,1,,0,0,0,0,0,,
t_10157_b_none_tn_0,10:40:00,10:40:00,781732,2,,0,0,2279.23204828835,0,0,,
t_10157_b_none_tn_0,10:42:00,10:42:00,781734,3,,0,0,2970.72075796905,0,0,,
t_10157_b_none_tn_0,10:43:00,10:43:00,781736,4,,0,0,3364.79013336394,0,0,,
t_10157_b_none_tn_0,10:44:00,10:44:00,781738,5,,0,0,4070.56927602859,0,0,,
t_10157_b_none_tn_0,10:46:00,10:46:00,781740,6,,0,0,4858.20160798,0,0,,
t_10158_b_none_tn_0,10:42:00,10:42:00,781715,1,,0,0,0,0,0,,
t_10158_b_none_tn_0,10:50:00,10:50:00,781732,2,,0,0,2279.23204828835,0,0,,
t_10158_b_none_tn_0,10:52:00,10:52:00,781734,3,,0,0,2970.72075796905,0,0,,
t_10158_b_none_tn_0,10:53:00,10:53:00,781736,4,,0,0,3364.79013336394,0,0,,
t_10158_b_none_tn_0,10:54:00,10:54:00,781738,5,,0,0,4070.56927602859,0,0,,
t_10158_b_none_tn_0,10:56:00,10:56:00,781740,6,,0,0,4858.20160798,0,0,,
t_10159_b_none_tn_0,10:52:00,10:52:00,781715,1,,0,0,0,0,0,,
t_10159_b_none_tn_0,11:00:00,11:00:00,781732,2,,0,0,2279.23204828835,0,0,,
t_10159_b_none_tn_0,11:02:00,11:02:00,781734,3,,0,0,2970.72075796905,0,0,,
t_10159_b_none_tn_0,11:03:00,11:03:00,781736,4,,0,0,3364.79013336394,0,0,,
t_10159_b_none_tn_0,11:04:00,11:04:00,781738,5,,0,0,4070.56927602859,0,0,,
t_10159_b_none_tn_0,11:06:00,11:06:00,781740,6,,0,0,4858.20160798,0,0,,
t_10160_b_none_tn_0,11:02:00,11:02:00,781715,1,,0,0,0,0,0,,
t_10160_b_none_tn_0,11:10:00,11:10:00,781732,2,,0,0,2279.23204828835,0,0,,
t_10160_b_none_tn_0,11:12:00,11:12:00,781734,3,,0,0,2970.72075796905,0,0,,
t_10160_b_none_tn_0,11:13:00,11:13:00,781736,4,,0,0,3364.79013336394,0,0,,
t_10160_b_none_tn_0,11:14:00,11:14:00,781738,5,,0,0,4070.56927602859,0,0,,
t_10160_b_none_tn_0,11:16:00,11:16:00,781740,6,,0,0,4858.20160798,0,0,,
t_10161_b_none_tn_0,11:12:00,11:12:00,781715,1,,0,0,0,0,0,,
t_10161_b_none_tn_0,11:20:00,11:20:00,781732,2,,0,0,2279.23204828835,0,0,,
t_10161_b_none_tn_0,11:22:00,11:22:00,781734,3,,0,0,2970.72075796905,0,0,,
t_10161_b_none_tn_0,11:23:00,11:23:00,781736,4,,0,0,3364.79013336394,0,0,,
t_10161_b_none_tn_0,11:24:00,11:24:00,781738,5,,0,0,4070.56927602859,0,0,,
t_10161_b_none_tn_0,11:26:00,11:26:00,781740,6,,0,0,4858.20160798,0,0,,
t_10162_b_none_tn_0,11:22:00,11:22:00,781715,1,,0,0,0,0,0,,
t_10162_b_none_tn_0,11:30:00,11:30:00,781732,2,,0,0,2279.23204828835,0,0,,
t_10162_b_none_tn_0,11:32:00,11:32:00,781734,3,,0,0,2970.72075796905,0,0,,
t_10162_b_none_tn_0,11:33:00,11:33:00,781736,4,,0,0,3364.79013336394,0,0,,
t_10162_b_none_tn_0,11:34:00,11:34:00,781738,5,,0,0,4070.56927602859,0,0,,
